,TC,IMPORTE,TOTAL MX,TOTAL SAT
1167,1.0,3300.0,3348.0,3348.0
1168,1.0,9660.82,10626.9,10626.9
1169,1.0,18561.63,20417.79,20417.79
1170,1.0,2398.0,2723.5,3027.0
1171,1.0,135.34,157.0,157.0
1172,1.0,0.01,0.01,0.0
1173,1.0,0.0,0.0,0.0
1174,1.0,0.0,0.0,0.0
1175,1.0,0.0,0.0,0.0
1176,1.0,0.0,0.0,0.0
1177,1.0,168.96,195.99,195.99
1178,1.0,2371.0,2750.36,2750.36
1179,1.0,0.0,0.0,0.0
1180,1.0,11168.47,12285.32,12285.32
1181,1.0,2398.0,2723.5,31487.04
1182,1.0,1139.12,1321.38,1321.38
1183,1.0,69.1,80.16,80.16
1184,1.0,0.0,0.0,0.0
1185,1.0,0.0,0.0,0.0
1186,1.0,1000.0,1160.0,1160.0
1187,1.0,98.08,113.77,113.77
1188,1.0,16.08,18.65,18.65
1189,1.0,2398.0,2723.5,3027.0
1190,1.0,0.0,0.0,1432.3
1191,1.0,198.0,236.57,236.57
1192,1.0,3601.0,4090.74,3550.59
1193,1.0,0.0,0.0,0.0
1194,1.0,0.0,0.0,0.0
1195,1.0,0.0,0.0,0.0
1196,1.0,0.0,0.0,0.0
1197,1.0,0.0,0.0,0.0
1198,1.0,0.0,0.0,0.0
1199,1.0,341.1,395.68,395.68
1200,1.0,0.0,0.0,0.0
1201,1.0,0.0,0.0,0.0
1202,1.0,-1784.57,-2070.1,-2070.1
1203,1.0,-1016.01,-1178.57,-1178.57
1204,1.0,74.14,86.0,86.0
1205,1.0,632.48,733.68,733.68
1206,1.0,342.0,396.72,396.72
1207,1.0,426.72,495.0,495.0
1208,1.0,236.62,274.48,274.48
1209,1.0,2675.0,3060.76,2796.76
1210,1.0,0.0,0.0,0.0
1211,1.0,0.0,0.0,0.0
1212,1.0,0.0,0.0,0.0
1213,1.0,0.0,0.0,0.0
1214,1.0,4660.68,5406.39,5406.39
1215,1.0,-1009.09,-1170.55,-1170.55
1216,1.0,1016.01,1178.57,1178.57
1217,1.0,4824.91,5307.41,5307.41
1218,1.0,1100.0,1276.0,1276.0
1219,1.0,900.0,1044.0,1044.0
1220,1.0,4000.0,4640.0,4640.0
1221,1.0,218.22,253.14,253.14
1222,1.0,11821.55,13003.71,13003.71
1223,1.0,180.0,202.8,202.8
1224,1.0,2923.95,3357.12,3357.12
1225,1.0,2398.0,2723.5,3027.0
1226,1.0,1448.83,1680.65,1680.65
1227,1.0,200.96,240.11,240.11
1228,1.0,336.9,398.99,398.99
1229,1.0,8265.05,9587.46,9587.46
1230,1.0,0.0,0.0,0.0
1231,1.0,2354.5,2731.22,2731.22
1232,1.0,0.0,0.0,3763.8
1233,1.0,0.0,0.0,0.0
1234,1.0,8330.66,9163.73,9163.73
1235,1.0,23275.86,27000.0,27000.0
1236,1.0,15000.0,14300.0,14300.0
1237,1.0,68.18,79.09,79.09
1238,1.0,600.0,696.0,696.0
1239,1.0,11772.0,13655.52,13655.52
1240,1.0,0.0,0.0,0.0
1241,1.0,0.0,0.0,880.9
1242,1.0,0.0,0.0,4311.6
1243,1.0,2398.0,2723.5,29214.02
1244,1.0,149.74,173.7,173.7
1245,1.0,3100.0,3596.0,3596.0
1246,1.0,1600.0,1856.0,1856.0
1247,1.0,0.0,0.0,0.0
1248,1.0,2025.05,2227.56,2227.56
1249,1.0,2596.73,2856.41,2856.41
1250,1.0,201.0,226.32,226.32
1251,1.0,820.0,951.2,951.2
1252,1.0,919.89,1062.57,1062.57
1253,1.0,3500.0,3336.55,3336.55
1254,1.0,1025.0,1189.0,1189.0
1255,1.0,0.0,0.0,0.0
1256,1.0,0.0,0.0,0.0
1257,1.0,0.0,0.0,0.0
1258,1.0,0.0,0.0,0.0
1259,1.0,0.0,0.0,0.0
1260,1.0,6.89,7.99,7.99
1261,1.0,0.0,0.0,0.0
1262,1.0,0.0,0.0,0.0
1263,1.0,6438.72,7468.92,7468.92
1264,1.0,1723.28,1999.0,1999.0
1265,1.0,11403.71,11403.71,11403.71
1266,1.0,210.0,210.0,210.0
1267,1.0,349.5,405.42,405.42
1268,1.0,11.51,13.35,13.35
1269,1.0,3364.28,3700.7,3700.7
1270,1.0,8218.48,9040.33,9040.33
1271,1.0,0.0,0.0,0.0
1272,1.0,1912.13,2218.07,2218.07
1273,1.0,279.29,323.98,323.98
1274,1.0,18.97,22.0,22.0
1275,1.0,263.22,305.34,305.34
1276,1.0,11951.89,13147.08,13147.08
1277,1.0,1100.0,1276.0,1276.0
1278,1.0,0.0,0.0,69.0
1279,1.0,81.08,94.06,94.06
1280,1.0,336.9,398.99,398.99
1281,1.0,936.0,1085.76,1085.76
1282,1.0,0.0,0.0,0.0
1283,1.0,1767.52,2066.75,2066.75
1284,1.0,1932.69,2289.01,2289.01
1285,1.0,125.0,125.0,0.0
1286,1.0,44.73,51.89,51.89
1287,1.0,361.21,419.0,419.0
1288,1.0,114.02,132.26,132.26
1289,1.0,4261.32,4874.95,4448.82
1290,1.0,900.56,1044.64,1044.64
1291,1.0,2861.52,2861.52,2861.52
1292,1.0,0.0,0.0,0.0
1293,1.0,0.0,0.0,0.0
1294,1.0,217.2,217.2,217.2
1295,1.0,2961.0,3434.76,3434.76
1296,1.0,781.0,905.96,905.96
1297,1.0,176.72,205.0,205.0
1298,1.0,3300.0,3348.0,3348.0
1299,1.0,1364.67,1583.0,1583.0
1300,1.0,1264.0,1264.0,1264.0
1301,1.0,113.0,113.0,113.0
1302,1.0,113.0,113.0,113.0
1303,1.0,0.0,0.0,0.0
1304,1.0,0.0,0.0,0.0
1305,1.0,0.0,0.0,0.0
1306,1.0,129.85,150.0,150.0
1307,1.0,261.23,303.02,303.02
1308,1.0,529.82,614.6,614.6
1309,1.0,3364.28,3700.7,3700.7
1310,1.0,8218.48,9040.33,9040.33
1311,1.0,15000.0,17400.0,17400.0
1312,1.0,55.17,64.0,64.0
1313,1.0,0.0,0.0,691.0
1314,1.0,0.0,0.0,17.9
1315,1.0,559.32,648.82,648.82
1316,1.0,189.3,219.59,219.59
1317,1.0,2359.8,2372.57,2372.57
1318,1.0,0.0,0.0,0.0
1319,1.0,647.74,748.22,748.22
1320,1.0,11951.69,13146.86,13146.86
1321,1.0,86.93,100.84,100.84
1322,1.0,95.12,107.31,107.31
1323,1.0,12068.97,14000.0,14000.0
1324,1.0,1724.14,2000.0,2000.0
1325,1.0,4320.0,4942.08,4510.08
1326,1.0,15000.0,14300.0,14300.0
1327,1.0,79.26,91.94,91.94
1328,1.0,5039.65,5685.85,4685.0
1329,1.0,165.58,192.08,192.08
1330,1.0,1163.8,1350.01,1350.01
1331,1.0,1637.93,1900.0,1900.0
1332,1.0,490.0,568.4,568.4
1333,1.0,0.0,0.0,0.0
1334,1.0,0.0,0.0,0.0
1335,1.0,0.0,0.0,0.0
1336,1.0,0.0,0.0,0.0
1337,1.0,0.0,0.0,0.0
1338,1.0,0.0,0.0,0.0
1339,1.0,0.01,0.01,0.0
1340,1.0,6500.0,6500.0,6500.0
1341,1.0,1200.0,1392.0,1392.0
1342,1.0,0.0,0.0,1953.95
1343,1.0,0.0,0.0,1720.91
1344,1.0,0.0,0.0,1975.1
1345,1.0,0.0,0.0,0.0
1346,1.0,965.36,1115.18,1115.18
1347,1.0,100.0,116.0,116.0
1348,1.0,261.09,302.86,302.86
1349,1.0,861.0,998.76,998.76
1350,1.0,300.0,348.0,348.0
1351,1.0,0.0,0.0,0.0
1352,1.0,3500.0,3336.55,3336.55
1353,1.0,1250.0,1450.0,1450.0
1354,1.0,180.0,202.8,202.8
1355,1.0,37.5,43.5,43.5
1356,1.0,5400.0,6264.0,6264.0
1357,1.0,291.45,338.08,338.08
1358,1.0,291.45,338.08,338.08
1359,1.0,175.0,175.0,175.0
1360,1.0,0.0,0.0,0.0
1361,1.0,0.0,0.0,0.0
1362,1.0,0.0,0.0,0.0
1363,1.0,15.64,18.14,18.14
1364,1.0,3960.0,4593.6,4593.6
1365,1.0,2940.0,3410.4,3410.4
1366,1.0,0.0,0.0,0.0
1367,1.0,0.0,0.0,0.0
1368,1.0,0.0,0.0,0.0
1369,1.0,4485.0,5202.6,5202.6
1370,1.0,3105.54,3416.1,3416.1
1371,1.0,0.0,0.0,925.95
1372,1.0,8425.93,9268.52,9268.52
1373,1.0,17241.38,20000.0,20000.0
1374,1.0,0.0,0.0,0.0
1375,1.0,1587.06,1840.99,1840.99
1376,1.0,121.9,141.4,141.4
1377,1.0,11187.62,12306.38,12306.38
1378,1.0,474.72,550.68,550.68
1379,1.0,432.83,500.0,500.0
1380,1.0,57.42,66.61,66.61
1381,1.0,0.0,0.0,782.25
1382,1.0,35.0,35.0,35.0
1383,1.0,2398.0,2723.5,3027.0
1384,1.0,2398.0,2723.5,3027.0
1385,1.0,2398.0,2723.5,3027.0
1386,1.0,1656.45,1931.15,1931.15
1387,1.0,2064.69,2446.72,2446.72
1388,1.0,463.55,549.01,549.01
1389,1.0,202.44,241.87,241.87
1390,1.0,752.43,899.0,899.0
1391,1.0,2398.0,2723.5,3027.0
1392,1.0,2585.0,2998.6,2998.6
1393,1.0,600.0,696.0,696.0
1394,1.0,0.0,0.0,1360.8
1395,1.0,0.0,0.0,235.0
1396,1.0,3833.0,3833.0,3833.0
1397,1.0,3300.0,3348.0,3348.0
1398,1.0,4620.0,5359.2,5359.2
1399,1.0,237.86,275.92,275.92
1400,1.0,36.78,42.66,42.66
1401,1.0,0.0,0.0,0.0
1402,1.0,1266.0,1468.56,1468.56
1403,1.0,1139.12,1321.38,1321.38
1404,1.0,0.0,0.0,0.0
1405,1.0,2800.0,3248.0,3248.0
1406,1.0,4519.61,5242.75,5242.75
1407,1.0,819.0,950.04,950.04
1408,1.0,0.0,0.0,0.0
1409,1.0,0.0,0.0,0.0
1410,1.0,100.89,117.03,117.03
1411,1.0,1615.88,1874.42,1874.42
1412,1.0,3169.76,3486.73,3486.73
1413,1.0,2000.0,2320.0,2320.0
1414,1.0,10227.36,11250.1,11250.1
1415,1.0,1960.0,2273.6,2273.6
1416,1.0,1494.93,1734.12,1734.12
1417,1.0,11.95,13.86,13.86
1418,1.0,17.09,19.82,19.82
1419,1.0,2123.8,2463.61,2463.61
1420,1.0,10835.07,11918.58,11918.58
1421,1.0,1705.35,1875.89,1875.89
1422,1.0,350.0,406.0,406.0
1423,1.0,248.4,288.14,288.14
1424,1.0,0.0,0.0,0.0
1425,1.0,4024.97,4621.26,4621.26
1426,1.0,12931.03,15000.0,15000.0
